receipt_number,transaction_date,sku,product_name,quantity,unit_price,discount_amount,tax_amount,payment_method,customer_name,customer_email,customer_phone,location_name
RCP-20250325-014,2025-03-25 09:30:00,ESS-021,Paper Towels,1,11.99,0.00,0.99,mobile,Elizabeth White,elizabeth.w@email.com,555-0114,Back Shelf
RCP-20250325-014,2025-03-25 09:30:00,ESS-026,Dish Soap,2,2.99,0.00,0.49,mobile,Elizabeth White,elizabeth.w@email.com,555-0114,Back Shelf
RCP-20250325-014,2025-03-25 09:30:00,ESS-027,Trash Bags,1,8.99,0.00,0.74,mobile,Elizabeth White,elizabeth.w@email.com,555-0114,Back Shelf
RCP-20250325-015,2025-03-25 09:45:00,SNK-005,Chex Mix Traditional,1,2.29,0.00,0.19,card,Matthew Harris,matthew.h@email.com,555-0115,Main Floor
RCP-20250325-015,2025-03-25 09:45:00,SNK-015,Goldfish Crackers,1,1.79,0.00,0.15,card,Matthew Harris,matthew.h@email.com,555-0115,Main Floor
RCP-20250325-015,2025-03-25 09:45:00,SNK-016,Ritz Crackers,1,1.99,0.00,0.16,card,Matthew Harris,matthew.h@email.com,555-0115,Main Floor
RCP-20250325-015,2025-03-25 09:45:00,SNK-017,Beef Jerky,1,1.49,0.00,0.12,card,Matthew Harris,matthew.h@email.com,555-0115,Main Floor
RCP-20250325-016,2025-03-25 10:00:00,TOB-001,Marlboro Red,3,10.99,5.00,2.72,card,Ashley Martin,ashley.m@email.com,555-0116,Front Counter
RCP-20250325-016,2025-03-25 10:00:00,TOB-004,Marlboro Menthol,1,11.49,0.00,0.95,card,Ashley Martin,ashley.m@email.com,555-0116,Front Counter
RCP-20250325-016,2025-03-25 10:00:00,SNK-004,Takis Fuego,2,4.49,0.00,0.74,card,Ashley Martin,ashley.m@email.com,555-0116,Main Floor
RCP-20250325-017,2025-03-25 10:15:00,ESS-008,Butter 1lb,1,6.99,0.00,0.58,cash,Joshua Thompson,joshua.t@email.com,555-0117,Cooler
RCP-20250325-017,2025-03-25 10:15:00,ESS-018,Orange Juice,1,2.49,0.00,0.21,cash,Joshua Thompson,joshua.t@email.com,555-0117,Cooler
RCP-20250325-017,2025-03-25 10:15:00,ESS-019,Coffee Creamer,1,3.49,0.00,0.29,cash,Joshua Thompson,joshua.t@email.com,555-0117,Cooler
RCP-20250325-018,2025-03-25 10:30:00,BEV-009,Arizona Green Tea,1,2.99,0.00,0.25,mobile,Stephanie Robinson,stephanie.r@email.com,555-0118,Cooler
RCP-20250325-018,2025-03-25 10:30:00,SNK-012,Granola Bars,1,2.49,0.00,0.21,mobile,Stephanie Robinson,stephanie.r@email.com,555-0118,Main Floor
RCP-20250325-018,2025-03-25 10:30:00,SNK-018,Candy Bar,1,1.49,0.00,0.12,mobile,Stephanie Robinson,stephanie.r@email.com,555-0118,Checkout Counter
RCP-20250325-019,2025-03-25 10:45:00,ESS-024,Aluminum Foil,1,5.99,0.00,0.49,card,Andrew Clark,andrew.c@email.com,555-0119,Back Shelf
RCP-20250325-019,2025-03-25 10:45:00,ESS-025,Ziploc Bags,1,4.99,0.00,0.41,card,Andrew Clark,andrew.c@email.com,555-0119,Back Shelf
RCP-20250325-019,2025-03-25 10:45:00,ESS-028,Laundry Detergent,1,8.99,0.00,0.74,card,Andrew Clark,andrew.c@email.com,555-0119,Back Shelf
